NAMA,NO_TEL,NO_FAKS,JENIS,TARIKH_DATA,NO,UNIT_TKT,BANGUNAN,JALAN,KG_TMN,BANDAR,POSKOD,DAERAH,NEGERI,X,Y
KLINIK KESIHATAN SUNGAI DUA,04-3564355,04-3566835,KLINIK KESIHATAN,31/12/2013,LOT 2349,NA,NA,JALAN PENGKALAN MACHANG,"MUKIM 11, SUNGAI DUA",BUTTERWORTH,13800,SPU,PULAU PINANG,100.4307404,5.441839218
KLINIK KESIHATAN MAK MANDIN,04-3244685,04-5754433,KLINIK KESIHATAN,13/10/2022,LOT 2882,NA,NA,JALAN MAK MANDIN,"SEKSYEN 3, MAK MANDIN",BUTTERWORTH,13400,SPU,PULAU PINANG,100.3892441,5.421141148
KLINIK KESIHATAN SUNGAI ACHEH,04-5981733,04-5939086,KLINIK KESIHATAN,13/10/2022,LOT 1376,NA,NA,JALAN SUNGAI ACHEH,SUNGAI ACHEH,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.422699,5.150201321
KLINIK KESIHATAN NIBONG TEBAL,04-5931355,04-5939086,KLINIK KESIHATAN,13/10/2022,LOT 320,NA,NA,JALAN KLINIK,MUKIM 17,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4737473,5.163545609
KLINIK KESIHATAN BUKIT MINYAK,04-5071355,04-5071355,KLINIK KESIHATAN,13/10/2022,LOT 106,NA,NA,NA,"MUKIM14, BUKIT MINYAK",BUKIT MERTAJAM,14000,SPT,PULAU PINANG,100.4483795,5.32668066
KLINIK KESIHATAN TASEK GELUGOR,04-5735025,04-5754433,KLINIK KESIHATAN,13/10/2022,LOT 1944,NA,NA,NA,MUKIM 12,TASEK GELUGOR,13300,SPU,PULAU PINANG,100.491394,5.484195232
KLINIK DESA BAGAN AJAM,04-3240060,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,JALAN BAGAN AJAM,BAGAN AJAM,BUTTERWORTH,13000,SPU,PULAU PINANG,100.3828888,5.447441578
KLINIK DESA SUNGAI PUYU,04-3240050,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,JALAN SUNGAI PUYU,SUNGAI PUYU,BUTTERWORTH,13020,SPU,PULAU PINANG,100.3961411,5.44604826
KLINIK DESA LAHAR YOOI,04-5736798,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,LAHAR YOOI,TASEK GELUGOR,13300,SPU,PULAU PINANG,100.4614639,5.466409683
KLINIK DESA POKOK SENA,04-5759129,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,POKOK SENA,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4506607,5.484470367
KLINIK DESA PERMATANG BULOH,04-5741014,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG BULOH,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4265518,5.480382442
KLINIK DESA PEKAN DARAT,04-3515759,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PEKAN DARAT,BUTTERWORTH,13300,SPU,PULAU PINANG,100.4017029,5.47869873
KLINIK DESA PERMATANG SINTOK,04-5759136,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG SINTOK,KEPALA BATAS,13100,SPU,PULAU PINANG,100.4040146,5.511359692
KLINIK DESA LAHAR KEPAR,04-5759112,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,LAHAR KEPAR,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4166641,5.538140297
KLINIK DESA BUMBUNG LIMA,04-5759110,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,BUMBUNG LIMA,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4359741,5.553627014
KLINIK DESA TOK BEDU,04-5733720,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,TOK BEDU,TASEK GELUGOR,13300,SPU,PULAU PINANG,100.4823074,5.506104469
KLINIK DESA KAMPUNG SELAMAT,04-5736800,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,KAMPUNG SELAMAT,TASEK GELUGOR,13300,SPU,PULAU PINANG,100.5222549,5.504446983
KLINIK DESA PINANG TUNGGAL,04-5736797,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PINANG TUNGGAL,KEPALA BATAS,13200,SPU,PULAU PINANG,100.503952,5.551824093
KLINIK DESA PADANG MENORA,04-5736796,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PADANG MENORA,TASEK GELUGOR,13310,SPU,PULAU PINANG,100.4746933,5.455760479
KLINIK DESA PERMATANG JANGGUS,04-5763360,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG JANGGUS,PENAGA,13100,SPU,PULAU PINANG,100.3896027,5.555566788
KLINIK DESA CHANGKAT,04-5938949,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,CHANGKAT,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.470108,5.198703289
KLINIK DESA PERMATANG TOK MAHAT,05-7171941,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG TOK MAHAT,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4763718,5.1312356
KLINIK DESA SUNGAI BAKAU,04-5982978,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,SUNGAI BAKAU,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4194336,5.125439644
KLINIK DESA TANJUNG BEREMBANG,04-5939211,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,TANJUNG BEREMBANG,NIBONG TEBAL,14300,SPS,PULAU PINANG,100.4616547,5.150203228
KLINIK DESA BATU KAWAN,04-5885293,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,BATU KAWAN,SIMPANG AMPAT,14100,SPS,PULAU PINANG,100.4207306,5.265945435
KLINIK DESA TASEK,04-5884348,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,TASEK,SIMPANG AMPAT,14100,SPS,PULAU PINANG,100.5157547,5.284940243
KLINIK DESA BUKIT TAMBUN,04-5884350,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,BUKIT TAMBUN,SIMPANG AMPAT,14100,SPS,PULAU PINANG,100.4488373,5.274247646
KLINIK DESA PULAU AMAN,04-5822092,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PULAU AMAN,SIMPANG AMPAT,14100,SPS,PULAU PINANG,100.3918686,5.266645908
KLINIK DESA WELLESLEY,04-5823233,TIADA,KLINIK DESA,05/05/2021,NA,NA,NA,NA,WELLESLEY,SUNGAI BAKAP,14200,SPS,PULAU PINANG,100.5147324,5.211186409
KLINIK DESA SUNGAI DURI,04-5829233,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,SUNGAI DURI,SUNGAI BAKAP,14200,SPS,PULAU PINANG,100.5305328,5.208800793
KLINIK DESA VALDOR,04-5826535,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,VALDOR,SUNGAI BAKAP,14200,SPS,PULAU PINANG,100.4918213,5.240317822
KLINIK KESIHATAN JALAN MACALISTER,04-2289610,04-2819500,KLINIK KESIHATAN,13/10/2022,LOT 1762,NA,NA,JALAN MACALISTER,NA,GEORGE TOWN,10400,DTL,PULAU PINANG,100.3259735,5.414895058
KLINIK KESIHATAN BUKIT BENDERA,04-8299406,04-2819500,KLINIK KESIHATAN,13/10/2022,NA,NA,NA,NA,NA,BUKIT BENDERA,11500,DTL,PULAU PINANG,100.2690735,5.424479485
KLINIK KESIHATAN IBU DAN ANAK AIR PUTIH,04-8660287,TIADA,KLINIK KESIHATAN IBU DAN ANAK,31/12/2013,"LOT 312, JKR 2761 (P)",NA,NA,NA,"MUKIM E, AIR PUTIH",BALIK PULAU,11000,DBD,PULAU PINANG,100.2173691,5.363669395
KLINIK KESIHATAN TELUK BAHANG,04-8851951,04-8811333,KLINIK KESIHATAN,05/05/2021,LOT 669,NA,NA,NA,MUKIM 2,TELUK BAHANG,11050,DBD,PULAU PINANG,100.2149963,5.455673218
KLINIK DESA PANTAI ACHEH,04-8668833,TIADA,KLINIK DESA,05/05/2021,NA,NA,NA,NA,PANTAI ACHEH,BALIK PULAU,11010,DBD,PULAU PINANG,100.1963501,5.4152174
KLINIK DESA SUNGAI PINANG,04-8661726,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,SUNGAI PINANG,BALIK PULAU,11010,DBD,PULAU PINANG,100.2107544,5.394001007
KLINIK PERGIGIAN KANAK-KANAK,04-2299233,04-2296313,KLINIK PERGIGIAN,31/12/2013,NA,3,NA,JALAN SEPOY LINES,NA,GEORGE TOWN,10450,DTL,PULAU PINANG,100.3080826,5.419364452
KLINIK KESIHATAN IBU DAN ANAK PADANG TEMBAK / RIFLE RANGE,04-8296355,TIADA,KLINIK KESIHATAN IBU DAN ANAK,31/12/2013,NA,BLOK A,NA,JALAN PADANG TEMBAK,"RUMAH PANGSA PADANG TEMBAK, PADANG TEMBAK",AYER ITAM,11400,DTL,PULAU PINANG,100.2887573,5.411389351
KLINIK KESIHATAN JALAN PERAK,04-2812033,04-2819500,KLINIK KESIHATAN,13/10/2022,LOT 808,NA,NA,JALAN PERAK,SEKSYEN 2,GEORGE TOWN,10400,DTL,PULAU PINANG,100.3145752,5.402748585
KLINIK KESIHATAN BUKIT JAMBUL,04-6448521,04-2819500,KLINIK KESIHATAN,13/10/2022,NA,BLOK B,POLIKLINIK KOMUNITI BUKIT JAMBUL,JALAN TUN DR AWANG,"TAMAN BUKIT JAMBUL, BUKIT JAMBUL",BAYAN LEPAS,11900,DTL,PULAU PINANG,100.2892532,5.336402416
KLINIK KESIHATAN IBU DAN ANAK TAMAN TUN SARDON,04-6571592,TIADA,KLINIK KESIHATAN IBU DAN ANAK,31/12/2013,NA,"BLOK A-G-9, TINGKAT BAWAH",NA,NA,TAMAN TUN SARDON,GLUGOR,11700,DTL,PULAU PINANG,100.3057709,5.368540764
KLINIK KESIHATAN IBU DAN ANAK TANJONG TOKONG,04-8993727,TIADA,KLINIK KESIHATAN IBU DAN ANAK,31/12/2013,NA,A-G-3 & A-G-4,NA,JALAN TANJONG TOKONG,RUMAH PANGSA TANJONG TOKONG,TANJONG TOKONG,10470,DTL,PULAU PINANG,100.3061752,5.462473869
KLINIK DESA PERMATANG BENDAHARI,04-5793244,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG BENDAHARI,PENAGA,13110,SPU,PULAU PINANG,100.3744431,5.579116344
KLINIK DESA PAYA KELADI,04-5754728,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PAYA KELADI,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4428329,5.538463593
KLINIK KESIHATAN KEPALA BATAS,04-5756755,04-5759155,KLINIK KESIHATAN,13/10/2022,LOT 1466,NA,NA,NA,MUKIM 6,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4336243,5.516511917
KLINIK KESIHATAN PENAGA,04-5791718,04-5751649,KLINIK KESIHATAN,13/10/2022,LOT 3001,NA,NA,JALAN PENAGA,"MUKM 5, PENAGA",KEPALA BATAS,13110,SPU,PULAU PINANG,100.3811111,5.53323698
KLINIK DESA PASIR GEBU,04-5793246,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PASIR GEBU,PENAGA,13110,SPU,PULAU PINANG,100.3724442,5.555724144
KLINIK DESA TELUK AYER TAWAR,04-3515822,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,JALAN TELUK AIR TAWAR,TELUK AIR TAWAR,BUTTERWORTH,13050,SPU,PULAU PINANG,100.3841324,5.487885475
KLINIK DESA PAJAK SONG,04-5759171,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PAJAK SONG,KEPALA BATAS,13200,SPU,PULAU PINANG,100.4264374,5.499994278
KLINIK KESIHATAN BUTTERWORTH,04-3233333,04-3337884,KLINIK KESIHATAN,13/10/2022,LOT 1699,NA,NA,JALAN PANTAI,"SEKSYEN 4, BAGAN LUAR",BUTTERWORTH,12000,SPU,PULAU PINANG,100.3684845,5.406755924
KLINIK DESA BAGAN DALAM,04-3284464,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,JALAN BAGAN DALAM,BAGAN DALAM,BUTTERWORTH,12100,SPU,PULAU PINANG,100.3735275,5.395236969
KLINIK DESA PERMATANG PASIR,04-8665539,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PERMATANG PASIR,BALIK PULAU,11000,DBD,PULAU PINANG,100.211525,5.373368263
KLINIK DESA SUNGAI BURONG,04-8662060,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,SUNGAI BURONG,BALIK PULAU,11000,DBD,PULAU PINANG,100.2073517,5.337426186
KLINIK DESA PONDOK UPEH,04-8661723,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,PONDOK UPEH,BALIK PULAU,11000,DBD,PULAU PINANG,100.2182388,5.332309723
KLINIK DESA KAMPUNG PERLIS,04-8661749,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,KAMPUNG PERLIS,BALIK PULAU,11020,DBD,PULAU PINANG,100.2036667,5.310797215
KLINIK DESA GERTAK SANGGUL,04-6493920,TIADA,KLINIK DESA,31/12/2013,NA,NA,NA,NA,GERTAK SANGGUL,BAYAN LEPAS,11920,DBD,PULAU PINANG,100.1978836,5.282105923
